CLASSIC_LASER_IN;CLASSIS_OUT;QUANT_IN_PORT;QUANT_DETECTOR_PORT;MIN photon count;MAX photon count;timestamp epoch;timestamp_utc;duration
2;10;5;12;528;763;1744392101.807865354;Fri Apr 11 05:21:41 PM UTC 2025;41.474757809
2;10;6;12;2572;4446;1744392143.289096035;Fri Apr 11 05:22:23 PM UTC 2025;73.340302363
2;10;7;12;607;913;1744392216.636258619;Fri Apr 11 05:23:36 PM UTC 2025;61.950976492
2;10;8;12;731;1152;1744392278.594250560;Fri Apr 11 05:24:38 PM UTC 2025;54.622679169
2;10;-;-;1239;1474;1744392530.605456823;Fri Apr 11 05:28:50 PM UTC 2025;45.894154980
2;10;1;13;528;889;1744392576.506644463;Fri Apr 11 05:29:36 PM UTC 2025;57.467106048
2;10;3;13;17331;21216;1744392633.980075586;Fri Apr 11 05:30:33 PM UTC 2025;166.038013061
2;10;4;13;1443;1792;1744392800.024619749;Fri Apr 11 05:33:20 PM UTC 2025;87.511365770
2;10;5;13;522;893;1744392887.542461191;Fri Apr 11 05:34:47 PM UTC 2025;46.854032574
2;10;6;13;6814;8986;1744392934.403504205;Fri Apr 11 05:35:34 PM UTC 2025;63.695055429
2;10;7;13;367;512;1744392998.105773638;Fri Apr 11 05:36:38 PM UTC 2025;75.610897350
2;10;8;13;473;640;1744393073.723400184;Fri Apr 11 05:37:53 PM UTC 2025;68.658927213
2;10;-;-;290;540;1744399787.987490447;Fri Apr 11 07:29:47 PM UTC 2025;42.916606392
2;10;1;14;433;852;1744399830.910858996;Fri Apr 11 07:30:30 PM UTC 2025;82.037372606
2;10;3;14;23021;24619;1744399912.955461068;Fri Apr 11 07:31:52 PM UTC 2025;91.505502001
2;10;4;14;2008;2368;1744400004.467795492;Fri Apr 11 07:33:24 PM UTC 2025;46.448002415
2;10;5;14;946;1465;1744400050.922949153;Fri Apr 11 07:34:10 PM UTC 2025;102.778352920
2;10;6;14;12106;13665;1744400153.708385340;Fri Apr 11 07:35:53 PM UTC 2025;143.498308801
2;10;7;14;372;720;1744400297.213259561;Fri Apr 11 07:38:17 PM UTC 2025;81.210968295
2;10;8;14;743;1012;1744400378.431373135;Fri Apr 11 07:39:38 PM UTC 2025;58.387727059
2;10;-;-;80;103;1744400545.427890809;Fri Apr 11 07:42:25 PM UTC 2025;48.477614778
2;10;1;15;724;1065;1744400593.912468521;Fri Apr 11 07:43:13 PM UTC 2025;63.873955845
2;10;3;15;27717;29799;1744400657.793351083;Fri Apr 11 07:44:17 PM UTC 2025;91.251907708
2;10;4;15;1918;2211;1744400749.052074587;Fri Apr 11 07:45:49 PM UTC 2025;83.525226099
2;10;5;15;558;811;1744400832.583911437;Fri Apr 11 07:47:12 PM UTC 2025;116.155349384
2;10;6;15;7282;9535;1744400948.745248791;Fri Apr 11 07:49:08 PM UTC 2025;166.190989586
2;10;7;15;382;798;1744401114.942411722;Fri Apr 11 07:51:54 PM UTC 2025;50.719064168
2;10;8;15;763;1109;1744401165.668400419;Fri Apr 11 07:52:45 PM UTC 2025;47.744607991
2;10;-;-;64;84;1744401303.768166275;Fri Apr 11 07:55:03 PM UTC 2025;39.528969529
2;10;1;16;536;1155;1744401343.304276139;Fri Apr 11 07:55:43 PM UTC 2025;61.610060926
2;10;3;16;24115;26630;1744401404.921962666;Fri Apr 11 07:56:44 PM UTC 2025;177.536089071
2;10;4;16;1413;1612;1744401582.464700335;Fri Apr 11 07:59:42 PM UTC 2025;103.612204218
2;10;5;16;402;661;1744401686.084086315;Fri Apr 11 08:01:26 PM UTC 2025;60.826909970
2;10;6;16;4463;6601;1744401746.918522169;Fri Apr 11 08:02:26 PM UTC 2025;72.173222404
2;10;7;16;398;571;1744401819.098259004;Fri Apr 11 08:03:39 PM UTC 2025;54.675587973
2;10;8;16;833;1094;1744401873.780560702;Fri Apr 11 08:04:33 PM UTC 2025;50.050738138
3;11;-;-;1039;1199;1744402110.678915289;Fri Apr 11 08:08:30 PM UTC 2025;50.958754766
3;11;1;9;1007;1162;1744402161.644537052;Fri Apr 11 08:09:21 PM UTC 2025;65.808290386
3;11;2;9;5527;7402;1744402227.459801511;Fri Apr 11 08:10:27 PM UTC 2025;108.285764651
3;11;4;9;2455;3614;1744402335.752951680;Fri Apr 11 08:12:15 PM UTC 2025;68.168968647
3;11;5;9;2735;2963;1744402403.928771848;Fri Apr 11 08:13:23 PM UTC 2025;38.244749770
3;11;6;9;1535;2167;1744402442.179990521;Fri Apr 11 08:14:02 PM UTC 2025;84.607672618
3;11;7;9;6135;8347;1744402526.794628355;Fri Apr 11 08:15:26 PM UTC 2025;111.176091355
3;11;8;9;1694;1979;1744402637.977500006;Fri Apr 11 08:17:17 PM UTC 2025;52.571080572
3;11;-;-;24085;24867;1744402843.692086987;Fri Apr 11 08:20:43 PM UTC 2025;83.105006909
3;11;1;10;18804;19551;1744402926.804216476;Fri Apr 11 08:22:06 PM UTC 2025;42.169941231
3;11;2;10;35348;38089;1744402968.980952128;Fri Apr 11 08:22:48 PM UTC 2025;114.162361165
3;11;4;10;16241;18568;1744403083.149963089;Fri Apr 11 08:24:43 PM UTC 2025;70.574583010
3;11;5;10;27619;28299;1744403153.731080795;Fri Apr 11 08:25:53 PM UTC 2025;36.715280841
3;11;6;10;22306;25471;1744403190.453464827;Fri Apr 11 08:26:30 PM UTC 2025;150.616029027
3;11;7;10;18117;49853;1744403341.076246430;Fri Apr 11 08:29:01 PM UTC 2025;335.320671979
3;11;8;10;28746;31039;1744403676.403877930;Fri Apr 11 08:34:36 PM UTC 2025;55.001297028
3;11;-;-;1906;2142;1744404021.904647158;Fri Apr 11 08:40:21 PM UTC 2025;118.333974126
3;11;1;12;1077;1235;1744404140.245788488;Fri Apr 11 08:42:20 PM UTC 2025;56.267629163
3;11;2;12;3021;4489;1744404196.520171856;Fri Apr 11 08:43:16 PM UTC 2025;47.347464648
3;11;4;12;3528;4127;1744404243.874114535;Fri Apr 11 08:44:03 PM UTC 2025;51.454422029
3;11;5;12;761;844;1744404295.334819719;Fri Apr 11 08:44:55 PM UTC 2025;28.111893878
3;11;6;12;977;1178;1744404323.453248039;Fri Apr 11 08:45:23 PM UTC 2025;57.897134901
3;11;7;12;4712;6815;1744404381.357100134;Fri Apr 11 08:46:21 PM UTC 2025;31.649972295
